ensembl_gene_ID,kegg_ID
"ENSBTAG00000012375","path:bta04120"
"ENSBTAG00000025434","path:bta04218"
"ENSBTAG00000017421","path:bta04974"
"ENSBTAG00000018645","path:bta04550"
"ENSBTAG00000021325","path:bta04977"
"ENSBTAG00000005603","path:bta04060"
"ENSBTAG00000005603","path:bta04061"
"ENSBTAG00000005603","path:bta04062"
"ENSBTAG00000005603","path:bta04620"
"ENSBTAG00000013315","path:bta00190"
"ENSBTAG00000013315","path:bta01100"
"ENSBTAG00000013315","path:bta04714"
"ENSBTAG00000013315","path:bta05010"
"ENSBTAG00000013315","path:bta05012"
"ENSBTAG00000013315","path:bta05014"
"ENSBTAG00000013315","path:bta05016"
"ENSBTAG00000013315","path:bta05020"
"ENSBTAG00000013315","path:bta05022"
"ENSBTAG00000007316","path:bta00534"
"ENSBTAG00000007316","path:bta01100"
"ENSBTAG00000020035","path:bta04919"
"ENSBTAG00000020035","path:bta04921"
"ENSBTAG00000020035","path:bta05167"
"ENSBTAG00000046443","path:bta04060"
"ENSBTAG00000046443","path:bta04151"
"ENSBTAG00000046443","path:bta04217"
"ENSBTAG00000046443","path:bta04620"
"ENSBTAG00000046443","path:bta04621"
"ENSBTAG00000046443","path:bta04622"
"ENSBTAG00000046443","path:bta04623"
"ENSBTAG00000046443","path:bta04630"
"ENSBTAG00000046443","path:bta04650"
"ENSBTAG00000046443","path:bta05152"
"ENSBTAG00000046443","path:bta05160"
"ENSBTAG00000046443","path:bta05161"
"ENSBTAG00000046443","path:bta05162"
"ENSBTAG00000046443","path:bta05163"
"ENSBTAG00000046443","path:bta05164"
"ENSBTAG00000046443","path:bta05165"
"ENSBTAG00000046443","path:bta05167"
"ENSBTAG00000046443","path:bta05168"
"ENSBTAG00000046443","path:bta05169"
"ENSBTAG00000046443","path:bta05170"
"ENSBTAG00000046443","path:bta05200"
"ENSBTAG00000046443","path:bta05320"
"ENSBTAG00000000682","path:bta04015"
"ENSBTAG00000000682","path:bta04530"
"ENSBTAG00000012020","path:bta04064"
"ENSBTAG00000012020","path:bta04217"
"ENSBTAG00000012020","path:bta04621"
"ENSBTAG00000012020","path:bta04657"
"ENSBTAG00000012020","path:bta04668"
"ENSBTAG00000012020","path:bta05163"
"ENSBTAG00000012020","path:bta05168"
"ENSBTAG00000012020","path:bta05169"
"ENSBTAG00000012020","path:bta05170"
"ENSBTAG00000012020","path:bta05200"
"ENSBTAG00000012020","path:bta05203"
"ENSBTAG00000012020","path:bta05222"
"ENSBTAG00000006560","path:bta04310"
"ENSBTAG00000050194","path:bta04060"
"ENSBTAG00000050194","path:bta04622"
"ENSBTAG00000050194","path:bta04630"
"ENSBTAG00000010955","path:bta03013"
"ENSBTAG00000010955","path:bta05014"
"ENSBTAG00000020040","path:bta00564"
"ENSBTAG00000020040","path:bta00565"
"ENSBTAG00000020040","path:bta01100"
"ENSBTAG00000021326","path:bta04060"
"ENSBTAG00000021326","path:bta04061"
"ENSBTAG00000021326","path:bta04062"
"ENSBTAG00000021326","path:bta04657"
"ENSBTAG00000021326","path:bta04668"
"ENSBTAG00000021326","path:bta05323"
"ENSBTAG00000018255","path:bta04510"
"ENSBTAG00000018255","path:bta04520"
"ENSBTAG00000018255","path:bta04530"
"ENSBTAG00000018255","path:bta04670"
"ENSBTAG00000018255","path:bta04810"
"ENSBTAG00000018255","path:bta05146"
"ENSBTAG00000018255","path:bta05203"
"ENSBTAG00000018255","path:bta05322"
"ENSBTAG00000004334","path:bta04330"
"ENSBTAG00000004334","path:bta05010"
"ENSBTAG00000032519","path:bta00310"
"ENSBTAG00000032519","path:bta01100"
"ENSBTAG00000001150","path:bta04261"
"ENSBTAG00000017771","path:bta04144"
"ENSBTAG00000012066","path:bta04514"
"ENSBTAG00000012066","path:bta04670"
"ENSBTAG00000012066","path:bta05144"
"ENSBTAG00000012066","path:bta05418"
"ENSBTAG00000034849","path:bta05034"
"ENSBTAG00000034849","path:bta05203"
"ENSBTAG00000034849","path:bta05322"
"ENSBTAG00000010956","path:bta04142"
"ENSBTAG00000006765","path:bta00970"
"ENSBTAG00000018637","path:bta00230"
"ENSBTAG00000018637","path:bta01100"
"ENSBTAG00000046803","path:bta04340"
"ENSBTAG00000046440","path:bta04141"
"ENSBTAG00000015356","path:bta04080"
"ENSBTAG00000011076","path:bta04726"
"ENSBTAG00000011076","path:bta04911"
"ENSBTAG00000011076","path:bta04929"
"ENSBTAG00000011076","path:bta04976"
"ENSBTAG00000026260","path:bta04971"
"ENSBTAG00000018905","path:bta00510"
"ENSBTAG00000018905","path:bta00513"
"ENSBTAG00000018905","path:bta01100"
"ENSBTAG00000012594","path:bta03010"
"ENSBTAG00000000738","path:bta04140"
"ENSBTAG00000000738","path:bta05200"
"ENSBTAG00000000738","path:bta05219"
"ENSBTAG00000009284","path:bta00220"
"ENSBTAG00000009284","path:bta00250"
"ENSBTAG00000009284","path:bta00471"
"ENSBTAG00000009284","path:bta01100"
"ENSBTAG00000009284","path:bta04724"
"ENSBTAG00000009284","path:bta04727"
"ENSBTAG00000009284","path:bta04964"
"ENSBTAG00000009284","path:bta05206"
"ENSBTAG00000009284","path:bta05230"
"ENSBTAG00000003131","path:bta00534"
"ENSBTAG00000003131","path:bta01100"
"ENSBTAG00000039675","path:bta04060"
"ENSBTAG00000039675","path:bta04622"
"ENSBTAG00000039675","path:bta04630"
"ENSBTAG00000014661","path:bta00532"
"ENSBTAG00000014661","path:bta01100"
"ENSBTAG00000051881","path:bta04060"
"ENSBTAG00000051881","path:bta04151"
"ENSBTAG00000051881","path:bta04217"
"ENSBTAG00000051881","path:bta04620"
"ENSBTAG00000051881","path:bta04621"
"ENSBTAG00000051881","path:bta04622"
"ENSBTAG00000051881","path:bta04623"
"ENSBTAG00000051881","path:bta04630"
"ENSBTAG00000051881","path:bta04650"
"ENSBTAG00000051881","path:bta05152"
"ENSBTAG00000051881","path:bta05160"
"ENSBTAG00000051881","path:bta05161"
"ENSBTAG00000051881","path:bta05162"
"ENSBTAG00000051881","path:bta05163"
"ENSBTAG00000051881","path:bta05164"
"ENSBTAG00000051881","path:bta05165"
"ENSBTAG00000051881","path:bta05167"
"ENSBTAG00000051881","path:bta05168"
"ENSBTAG00000051881","path:bta05169"
"ENSBTAG00000051881","path:bta05170"
"ENSBTAG00000051881","path:bta05200"
"ENSBTAG00000051881","path:bta05320"
"ENSBTAG00000018278","path:bta00190"
"ENSBTAG00000018278","path:bta01100"
"ENSBTAG00000018278","path:bta04714"
"ENSBTAG00000018278","path:bta05010"
"ENSBTAG00000018278","path:bta05012"
"ENSBTAG00000018278","path:bta05014"
"ENSBTAG00000018278","path:bta05016"
"ENSBTAG00000018278","path:bta05020"
"ENSBTAG00000018278","path:bta05022"
"ENSBTAG00000004574","path:bta00565"
"ENSBTAG00000004574","path:bta00600"
"ENSBTAG00000004574","path:bta01100"
"ENSBTAG00000002941","path:bta04360"
"ENSBTAG00000003222","path:bta00250"
"ENSBTAG00000003222","path:bta01100"
"ENSBTAG00000003222","path:bta01230"
"ENSBTAG00000050920","path:bta05168"
"ENSBTAG00000025632","path:bta03008"
"ENSBTAG00000053037","path:bta04060"
"ENSBTAG00000053037","path:bta04622"
"ENSBTAG00000053037","path:bta04630"
"ENSBTAG00000038487","path:bta05168"
"ENSBTAG00000000720","path:bta04140"
"ENSBTAG00000000720","path:bta04142"
"ENSBTAG00000000720","path:bta04145"
"ENSBTAG00000000720","path:bta04210"
"ENSBTAG00000000720","path:bta04612"
"ENSBTAG00000000720","path:bta05205"
"ENSBTAG00000000720","path:bta05323"
"ENSBTAG00000000720","path:bta05418"
"ENSBTAG00000055306","path:bta04060"
"ENSBTAG00000055306","path:bta04151"
"ENSBTAG00000055306","path:bta04217"
"ENSBTAG00000055306","path:bta04380"
"ENSBTAG00000055306","path:bta04620"
"ENSBTAG00000055306","path:bta04621"
"ENSBTAG00000055306","path:bta04622"
"ENSBTAG00000055306","path:bta04623"
"ENSBTAG00000055306","path:bta04630"
"ENSBTAG00000055306","path:bta04650"
"ENSBTAG00000055306","path:bta04668"
"ENSBTAG00000055306","path:bta05135"
"ENSBTAG00000055306","path:bta05142"
"ENSBTAG00000055306","path:bta05152"
"ENSBTAG00000055306","path:bta05160"
"ENSBTAG00000055306","path:bta05161"
"ENSBTAG00000055306","path:bta05162"
"ENSBTAG00000055306","path:bta05163"
"ENSBTAG00000055306","path:bta05164"
"ENSBTAG00000055306","path:bta05165"
"ENSBTAG00000055306","path:bta05167"
"ENSBTAG00000055306","path:bta05168"
"ENSBTAG00000055306","path:bta05169"
"ENSBTAG00000055306","path:bta05170"
"ENSBTAG00000018423","path:bta03040"
"ENSBTAG00000018423","path:bta05202"
"ENSBTAG00000018423","path:bta05205"
"ENSBTAG00000006954","path:bta05168"
"ENSBTAG00000004995","path:bta00512"
"ENSBTAG00000004995","path:bta00514"
"ENSBTAG00000004995","path:bta01100"
"ENSBTAG00000049948","path:bta04060"
"ENSBTAG00000049948","path:bta04151"
"ENSBTAG00000049948","path:bta04217"
"ENSBTAG00000049948","path:bta04380"
"ENSBTAG00000049948","path:bta04620"
"ENSBTAG00000049948","path:bta04621"
"ENSBTAG00000049948","path:bta04622"
"ENSBTAG00000049948","path:bta04623"
"ENSBTAG00000049948","path:bta04630"
"ENSBTAG00000049948","path:bta04650"
"ENSBTAG00000049948","path:bta04668"
"ENSBTAG00000049948","path:bta05135"
"ENSBTAG00000049948","path:bta05142"
"ENSBTAG00000049948","path:bta05152"
"ENSBTAG00000049948","path:bta05160"
"ENSBTAG00000049948","path:bta05161"
"ENSBTAG00000049948","path:bta05162"
"ENSBTAG00000049948","path:bta05163"
"ENSBTAG00000049948","path:bta05164"
"ENSBTAG00000049948","path:bta05165"
"ENSBTAG00000049948","path:bta05167"
"ENSBTAG00000049948","path:bta05168"
"ENSBTAG00000049948","path:bta05169"
"ENSBTAG00000049948","path:bta05170"
"ENSBTAG00000055103","path:bta04060"
"ENSBTAG00000055103","path:bta04151"
"ENSBTAG00000055103","path:bta04217"
"ENSBTAG00000055103","path:bta04380"
"ENSBTAG00000055103","path:bta04620"
"ENSBTAG00000055103","path:bta04621"
"ENSBTAG00000055103","path:bta04622"
"ENSBTAG00000055103","path:bta04623"
"ENSBTAG00000055103","path:bta04630"
"ENSBTAG00000055103","path:bta04650"
"ENSBTAG00000055103","path:bta04668"
"ENSBTAG00000055103","path:bta05135"
"ENSBTAG00000055103","path:bta05142"
"ENSBTAG00000055103","path:bta05152"
"ENSBTAG00000055103","path:bta05160"
"ENSBTAG00000055103","path:bta05161"
"ENSBTAG00000055103","path:bta05162"
"ENSBTAG00000055103","path:bta05163"
"ENSBTAG00000055103","path:bta05164"
"ENSBTAG00000055103","path:bta05165"
"ENSBTAG00000055103","path:bta05167"
"ENSBTAG00000055103","path:bta05168"
"ENSBTAG00000055103","path:bta05169"
"ENSBTAG00000055103","path:bta05170"
"ENSBTAG00000004860","path:bta03320"
"ENSBTAG00000004860","path:bta04931"
"ENSBTAG00000050468","path:bta04060"
"ENSBTAG00000050468","path:bta04151"
"ENSBTAG00000050468","path:bta04217"
"ENSBTAG00000050468","path:bta04380"
"ENSBTAG00000050468","path:bta04620"
"ENSBTAG00000050468","path:bta04621"
"ENSBTAG00000050468","path:bta04622"
"ENSBTAG00000050468","path:bta04623"
"ENSBTAG00000050468","path:bta04630"
"ENSBTAG00000050468","path:bta04650"
"ENSBTAG00000050468","path:bta04668"
"ENSBTAG00000050468","path:bta05135"
"ENSBTAG00000050468","path:bta05142"
"ENSBTAG00000050468","path:bta05152"
"ENSBTAG00000050468","path:bta05160"
"ENSBTAG00000050468","path:bta05161"
"ENSBTAG00000050468","path:bta05162"
"ENSBTAG00000050468","path:bta05163"
"ENSBTAG00000050468","path:bta05164"
"ENSBTAG00000050468","path:bta05165"
