ensembl_gene_ID,kegg_ID
"ENSBTAG00000001753","bta:507243"
"ENSBTAG00000046015","bta:782628"
"ENSBTAG00000012375","bta:767834"
"ENSBTAG00000021251","bta:508668"
"ENSBTAG00000020516","bta:785863"
"ENSBTAG00000025434","bta:614773"
"ENSBTAG00000017421","bta:535601"
"ENSBTAG00000018645","bta:507415"
"ENSBTAG00000017790","bta:505335"
"ENSBTAG00000021325","bta:537280"
"ENSBTAG00000024453","bta:101906969"
"ENSBTAG00000010414","bta:537680"
"ENSBTAG00000019227","bta:789748"
"ENSBTAG00000005603","bta:516104"
"ENSBTAG00000018642","bta:531926"
"ENSBTAG00000053156","bta:514652"
"ENSBTAG00000044169","bta:524741"
"ENSBTAG00000013315","bta:327675"
"ENSBTAG00000001164","bta:511425"
"ENSBTAG00000007316","bta:524136"
"ENSBTAG00000020035","bta:539640"
"ENSBTAG00000046443","bta:100329206"
"ENSBTAG00000050420","bta:512863"
"ENSBTAG00000004723","bta:513262"
"ENSBTAG00000000682","bta:789597"
"ENSBTAG00000035868","bta:614923"
"ENSBTAG00000035966","bta:787763"
"ENSBTAG00000018639","bta:535692"
"ENSBTAG00000012020","bta:507234"
"ENSBTAG00000011338","bta:100125763"
"ENSBTAG00000006560","bta:520544"
"ENSBTAG00000050194","bta:781778"
"ENSBTAG00000010955","bta:506916"
"ENSBTAG00000017429","bta:533479"
"ENSBTAG00000001737","bta:513209"
"ENSBTAG00000020040","bta:510842"
"ENSBTAG00000021046","bta:535408"
"ENSBTAG00000006762","bta:540718"
"ENSBTAG00000021326","bta:281666"
"ENSBTAG00000018255","bta:524770"
"ENSBTAG00000004334","bta:514929"
"ENSBTAG00000014099","bta:541024"
"ENSBTAG00000017840","bta:509799"
"ENSBTAG00000032519","bta:786620"
"ENSBTAG00000015925","bta:783805"
"ENSBTAG00000001150","bta:528014"
"ENSBTAG00000021327","bta:530118"
"ENSBTAG00000017771","bta:505336"
"ENSBTAG00000012066","bta:282303"
"ENSBTAG00000048331","bta:513508"
"ENSBTAG00000034849","bta:526064"
"ENSBTAG00000044067","bta:618331"
"ENSBTAG00000010956","bta:533177"
"ENSBTAG00000017830","bta:509798"
"ENSBTAG00000003707","bta:534491"
"ENSBTAG00000006765","bta:509429"
"ENSBTAG00000018637","bta:613382"
"ENSBTAG00000005961","bta:789618"
"ENSBTAG00000013841","bta:768067"
"ENSBTAG00000017672","bta:282820"
"ENSBTAG00000007110","bta:532635"
"ENSBTAG00000021328","bta:540759"
"ENSBTAG00000046803","bta:540336"
"ENSBTAG00000046440","bta:505068"
"ENSBTAG00000021253","bta:514566"
"ENSBTAG00000011528","bta:615202"
"ENSBTAG00000015356","bta:281512"
"ENSBTAG00000011076","bta:404177"
"ENSBTAG00000010389","bta:513376"
"ENSBTAG00000026260","bta:768025"
"ENSBTAG00000009281","bta:539560"
"ENSBTAG00000010961","bta:618451"
"ENSBTAG00000010959","bta:327693"
"ENSBTAG00000027017","bta:616756"
"ENSBTAG00000037640","bta:510773"
"ENSBTAG00000018905","bta:527449"
"ENSBTAG00000004159","bta:539492"
"ENSBTAG00000012594","bta:615431"
"ENSBTAG00000000738","bta:540873"
"ENSBTAG00000003700","bta:407227"
"ENSBTAG00000012157","bta:534614"
"ENSBTAG00000009284","bta:539561"
"ENSBTAG00000003131","bta:529260"
"ENSBTAG00000039675","bta:618943"
"ENSBTAG00000021259","bta:529537"
"ENSBTAG00000007508","bta:513877"
"ENSBTAG00000014661","bta:528149"
"ENSBTAG00000008710","bta:281881"
"ENSBTAG00000051881","bta:783912"
"ENSBTAG00000009209","bta:535329"
"ENSBTAG00000004333","bta:100126041"
"ENSBTAG00000014948","bta:538095"
"ENSBTAG00000016063","bta:516825"
"ENSBTAG00000018278","bta:281640"
"ENSBTAG00000010127","bta:280859"
"ENSBTAG00000004574","bta:281566"
"ENSBTAG00000048309","bta:789687"
"ENSBTAG00000002941","bta:507304"
"ENSBTAG00000003222","bta:514209"
"ENSBTAG00000018420","bta:505152"
"ENSBTAG00000050920","bta:787554"
"ENSBTAG00000025632","bta:616675"
"ENSBTAG00000016145","bta:537961"
"ENSBTAG00000053037","bta:523509"
"ENSBTAG00000019633","bta:100139141"
"ENSBTAG00000030836","bta:510136"
"ENSBTAG00000038487","bta:100125304"
"ENSBTAG00000048628","bta:100336796"
"ENSBTAG00000000341","bta:540524"
"ENSBTAG00000000720","bta:515200"
"ENSBTAG00000020459","bta:522884"
"ENSBTAG00000021997","bta:510879"
"ENSBTAG00000016236","bta:521217"
"ENSBTAG00000055306","bta:100848709"
"ENSBTAG00000032651","bta:526524"
"ENSBTAG00000018423","bta:533700"
"ENSBTAG00000006954","bta:539365"
"ENSBTAG00000004995","bta:539417"
"ENSBTAG00000049948","bta:112447877"
"ENSBTAG00000055103","bta:112447878"
"ENSBTAG00000004860","bta:537062"
"ENSBTAG00000050468","bta:112447879"
"ENSBTAG00000051622","bta:112441480"
"ENSBTAG00000021270","bta:524189"
"ENSBTAG00000010850","bta:614583"
