Gene stable ID,Gene name,Gene description,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand
ENSBTAG00000006648,,,1,339070,350389,-1
ENSBTAG00000049697,5S_rRNA,5S ribosomal RNA [Source:RFAM_Acc:RF00001],1,475398,475516,1
ENSBTAG00000047028,5S_rRNA,5S ribosomal RNA [Source:RFAM_Acc:RF00001],1,477378,477504,1
ENSBTAG00000053686,5S_rRNA,5S ribosomal RNA [Source:RFAM_Acc:RF00001],1,479417,479535,1
ENSBTAG00000054829,,,1,626079,668340,1
ENSBTAG00000046619,5S_rRNA,5S ribosomal RNA [Source:RFAM_Acc:RF00001],1,658163,658288,-1
ENSBTAG00000001753,,chloride intracellular channel 6 [Source:NCBI gene (formerly Entrezgene)_Acc:507243],1,764121,820845,-1
ENSBTAG00000045402,,,3,95835156,95835284,1
ENSBTAG00000046015,,keratin-associated protein 12-2 [Source:NCBI gene (formerly Entrezgene)_Acc:782628],1,141872518,141872892,1
ENSBTAG00000043654,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],7,22785667,22785768,-1
ENSBTAG00000043295,SNORA13,"small nucleolar RNA, H/ACA box 13 [Source:HGNC Symbol_Acc:HGNC:32601]",10,1816633,1816769,-1
ENSBTAG00000042741,SNORD104,"small nucleolar RNA, C/D box 104 [Source:HGNC Symbol_Acc:HGNC:32768]",19,48366314,48366383,1
ENSBTAG00000050969,,,16,71933736,71946889,-1
ENSBTAG00000052378,,,10,28258152,28258370,1
ENSBTAG00000012375,KLHL9,kelch like family member 9 [Source:VGNC Symbol_Acc:VGNC:30671],8,22874270,22876774,1
ENSBTAG00000021251,RIPK4,receptor interacting serine/threonine kinase 4 [Source:VGNC Symbol_Acc:VGNC:33983],1,142011078,142037290,-1
ENSBTAG00000020516,,chromosome 8 C9orf153 homolog [Source:NCBI gene (formerly Entrezgene)_Acc:785863],8,79402793,79425795,-1
ENSBTAG00000025434,ZFP36L1,ZFP36 ring finger protein like 1 [Source:VGNC Symbol_Acc:VGNC:37163],10,80614620,80620778,-1
ENSBTAG00000017421,SLC3A1,solute carrier family 3 member 1 [Source:VGNC Symbol_Acc:VGNC:34870],11,26701406,26735016,1
ENSBTAG00000018645,DLX5,distal-less homeobox 5 [Source:VGNC Symbol_Acc:VGNC:28101],4,14404123,14408479,-1
ENSBTAG00000042398,,,19,48366575,48366709,1
ENSBTAG00000052685,SNORA50C,"small nucleolar RNA, H/ACA box 50C [Source:HGNC Symbol_Acc:HGNC:32662]",19,48366577,48366709,1
ENSBTAG00000017790,B9D1,B9 domain containing 1 [Source:VGNC Symbol_Acc:VGNC:26396],19,34106728,34115094,1
ENSBTAG00000015741,,,3,9251873,9253856,1
ENSBTAG00000021325,SLC19A3,solute carrier family 19 member 3 [Source:VGNC Symbol_Acc:VGNC:56147],2,115812583,115843935,-1
ENSBTAG00000044350,,,7,56060329,56060452,1
ENSBTAG00000024453,RD3,"retinal degeneration 3, GUCY2D regulator [Source:VGNC Symbol_Acc:VGNC:33839]",16,71969177,71971116,1
ENSBTAG00000050601,,,10,2105418,2106513,1
ENSBTAG00000010414,DMRTA2,DMRT like family A2 [Source:VGNC Symbol_Acc:VGNC:28114],3,95865909,95870988,1
ENSBTAG00000019227,,sialic acid-binding Ig-like lectin 14 [Source:NCBI gene (formerly Entrezgene)_Acc:789748],18,57637619,57641293,-1
ENSBTAG00000045142,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],7,56191657,56191709,-1
ENSBTAG00000005603,CXCL11,C-X-C motif chemokine ligand 11 [Source:VGNC Symbol_Acc:VGNC:27847],6,90902720,90904851,-1
ENSBTAG00000018642,RCCD1,RCC1 domain containing 1 [Source:VGNC Symbol_Acc:VGNC:50153],21,21704343,21713349,-1
ENSBTAG00000053156,ISCA1,iron-sulfur cluster assembly 1 [Source:NCBI gene (formerly Entrezgene)_Acc:514652],8,79446098,79458984,-1
ENSBTAG00000044169,PRELID2,PRELI domain containing 2 [Source:VGNC Symbol_Acc:VGNC:33307],7,56942188,57021301,-1
ENSBTAG00000013315,ATP5F1B,ATP synthase F1 subunit beta [Source:VGNC Symbol_Acc:VGNC:26300],5,56789495,56795018,1
ENSBTAG00000001164,ACAD10,"acyl-CoA dehydrogenase family, member 10 [Source:NCBI gene (formerly Entrezgene)_Acc:511425]",17,55349801,55448734,1
ENSBTAG00000007316,NDST3,N-deacetylase and N-sulfotransferase 3 [Source:VGNC Symbol_Acc:VGNC:53768],6,6962626,7077344,-1
ENSBTAG00000020035,RCAN1,regulator of calcineurin 1 [Source:VGNC Symbol_Acc:VGNC:33820],1,882081,1002223,1
ENSBTAG00000051430,,,10,2121825,2127227,-1
ENSBTAG00000046443,IFNAG,"Bos taurus IFN-alpha C (IFNAC), mRNA. [Source:RefSeq mRNA_Acc:NM_174085]",8,22907781,22908419,1
ENSBTAG00000050420,,sialic acid-binding Ig-like lectin 14 [Source:NCBI gene (formerly Entrezgene)_Acc:512863],18,57658806,57662276,-1
ENSBTAG00000004723,TEX2,testis expressed 2 [Source:VGNC Symbol_Acc:VGNC:35763],19,48368410,48482779,-1
ENSBTAG00000054432,,,6,90954024,90957495,-1
ENSBTAG00000000682,,Rap guanine nucleotide exchange factor 6 [Source:NCBI gene (formerly Entrezgene)_Acc:789597],7,22826247,23051768,1
ENSBTAG00000035868,,sialic acid-binding Ig-like lectin 14 [Source:NCBI gene (formerly Entrezgene)_Acc:614923],18,57664643,57668067,-1
ENSBTAG00000035966,GRXCR2,glutaredoxin and cysteine rich domain containing 2 [Source:VGNC Symbol_Acc:VGNC:29670],7,57065186,57086707,-1
ENSBTAG00000029918,MIR99B,microRNA 99b [Source:HGNC Symbol_Acc:HGNC:31651],18,57688886,57688965,1
ENSBTAG00000018639,UNC45A,unc-45 myosin chaperone A [Source:VGNC Symbol_Acc:VGNC:36667],21,21714620,21729672,-1
ENSBTAG00000012020,TRAF5,TNF receptor associated factor 5 [Source:VGNC Symbol_Acc:VGNC:36277],16,71996522,72041299,-1
ENSBTAG00000011338,NREP,neuronal regeneration related protein [Source:NCBI gene (formerly Entrezgene)_Acc:100125763],10,2213062,2245525,1
ENSBTAG00000006560,VANGL2,VANGL planar cell polarity protein 2 [Source:VGNC Symbol_Acc:VGNC:36762],3,9265691,9294212,-1
ENSBTAG00000050194,,interferon omega-1 [Source:NCBI gene (formerly Entrezgene)_Acc:781778],8,22918161,22918748,1
ENSBTAG00000007127,,,2,115838391,115840022,1
ENSBTAG00000054132,,,4,14463630,14466823,-1
ENSBTAG00000010955,NUP54,nucleoporin 54 [Source:NCBI gene (formerly Entrezgene)_Acc:506916],6,91010248,91043062,-1
ENSBTAG00000017429,PREPL,prolyl endopeptidase like [Source:VGNC Symbol_Acc:VGNC:33311],11,26734669,26771592,-1
ENSBTAG00000034844,,60S ribosomal protein L39  [Source:UniProtKB/Swiss-Prot_Acc:Q3T051],6,7252645,7252800,-1
ENSBTAG00000001737,TUT7,terminal uridylyl transferase 7 [Source:VGNC Symbol_Acc:VGNC:37121],8,79466141,79523806,-1
ENSBTAG00000020040,LPCAT4,lysophosphatidylcholine acyltransferase 4 [Source:VGNC Symbol_Acc:VGNC:30964],10,28278976,28287059,1
ENSBTAG00000021046,ELAVL4,ELAV like RNA binding protein 4 [Source:VGNC Symbol_Acc:VGNC:52769],3,96071533,96166159,-1
ENSBTAG00000029880,MIRLET7E,microRNA let-7e [Source:HGNC Symbol_Acc:HGNC:31482],18,57689045,57689153,1
ENSBTAG00000029844,bta-mir-125a,bta-mir-125a [Source:miRBase_Acc:MI0004752],18,57689557,57689642,1
ENSBTAG00000048541,,,10,2284386,2291785,1
ENSBTAG00000052475,,,10,2296684,2323467,1
ENSBTAG00000048204,SPACA6,sperm acrosome associated 6 [Source:HGNC Symbol_Acc:HGNC:27113],18,57689833,57699513,1
ENSBTAG00000006762,SH3RF2,SH3 domain containing ring finger 2 [Source:VGNC Symbol_Acc:VGNC:34580],7,57146803,57275413,1
ENSBTAG00000021326,CCL20,C-C motif chemokine ligand 20 [Source:VGNC Symbol_Acc:VGNC:26947],2,115948258,115951955,1
ENSBTAG00000018255,ACTN1,actinin alpha 1 [Source:VGNC Symbol_Acc:VGNC:25581],10,80672883,80775228,-1
ENSBTAG00000040564,,,11,26736270,26736446,1
ENSBTAG00000043048,SNORD59A,"small nucleolar RNA, C/D box 59A [Source:HGNC Symbol_Acc:HGNC:10210]",5,56790501,56790575,1
ENSBTAG00000005540,CBX3,chromobox 3 [Source:VGNC Symbol_Acc:VGNC:50017],1,904168,904713,-1
ENSBTAG00000004334,NCSTN,nicastrin [Source:VGNC Symbol_Acc:VGNC:31929],3,9324285,9350657,-1
ENSBTAG00000014099,YTHDC2,YTH domain containing 2 [Source:VGNC Symbol_Acc:VGNC:37040],10,2413343,2486039,1
ENSBTAG00000043226,,,11,26744001,26744130,-1
ENSBTAG00000042677,bta-mir-677,bta-mir-677 [Source:miRBase_Acc:MI0011482],5,56791576,56791646,1
ENSBTAG00000049930,bta-mir-677,bta-mir-677 [Source:miRBase_Acc:MI0011482],5,56791577,56791642,1
ENSBTAG00000017840,BAZ2A,bromodomain adjacent to zinc finger domain 2A [Source:VGNC Symbol_Acc:VGNC:26430],5,56796775,56831748,1
ENSBTAG00000032519,CAMKMT,calmodulin-lysine N-methyltransferase [Source:VGNC Symbol_Acc:VGNC:26727],11,26771728,27198776,1
ENSBTAG00000015925,SDHAF3,succinate dehydrogenase complex assembly factor 3 [Source:VGNC Symbol_Acc:VGNC:34390],4,14476805,14567618,1
ENSBTAG00000001150,KCNE1,potassium voltage-gated channel subfamily E regulatory subunit 1 [Source:NCBI gene (formerly Entrezgene)_Acc:528014],1,1040523,1047017,1
ENSBTAG00000021327,DAW1,dynein assembly factor with WD repeats 1 [Source:VGNC Symbol_Acc:VGNC:27883],2,115992779,116028253,1
ENSBTAG00000017771,EPN2,epsin 2 [Source:VGNC Symbol_Acc:VGNC:28547],19,34117303,34168722,-1
ENSBTAG00000012066,PECAM1,platelet and endothelial cell adhesion molecule 1 [Source:VGNC Symbol_Acc:VGNC:32737],19,48541625,48619840,-1
ENSBTAG00000048331,,acyl-CoA dehydrogenase family member 10 [Source:NCBI gene (formerly Entrezgene)_Acc:513508],17,55355159,55391764,1
ENSBTAG00000051854,,,6,7441167,7459597,1
ENSBTAG00000034849,,histone H2B type 1-L [Source:NCBI gene (formerly Entrezgene)_Acc:526064],6,7869662,7870042,-1
ENSBTAG00000044067,PLAC8L1,PLAC8 like 1 [Source:VGNC Symbol_Acc:VGNC:32969],7,57296638,57317430,-1
ENSBTAG00000010956,SCARB2,scavenger receptor class B member 2 [Source:VGNC Symbol_Acc:VGNC:34325],6,91048377,91130984,-1
ENSBTAG00000054611,bta-mir-12018,bta-mir-12018 [Source:miRBase_Acc:MI0038426],7,22962266,22962323,1
ENSBTAG00000017830,RBMS2,RNA binding motif single stranded interacting protein 2 [Source:VGNC Symbol_Acc:VGNC:33810],5,56836859,56890516,-1
ENSBTAG00000026259,,,1,1061262,1061597,1
ENSBTAG00000045185,7SK,7SK RNA [Source:RFAM_Acc:RF00100],7,22962810,22963146,-1
ENSBTAG00000052859,,,8,22948591,22949766,-1
ENSBTAG00000053149,,,7,23040128,23040297,1
ENSBTAG00000052120,,,6,7995719,7999727,1
ENSBTAG00000051226,,,1,1071552,1077244,1
ENSBTAG00000048428,,,8,22983689,23008781,1
ENSBTAG00000003707,GRAP,GRB2-related adaptor protein [Source:NCBI gene (formerly Entrezgene)_Acc:534491],19,34193450,34214693,1
ENSBTAG00000053134,,,8,79545679,79548516,-1
ENSBTAG00000049590,,,10,2932242,2933909,1
ENSBTAG00000006765,LARS1,leucyl-tRNA synthetase 1 [Source:VGNC Symbol_Acc:VGNC:30795],7,57327431,57397980,-1
ENSBTAG00000018637,HDDC3,HD domain containing 3 [Source:VGNC Symbol_Acc:VGNC:29786],21,21732653,21734519,1
ENSBTAG00000005961,CDC42SE2,CDC42 small effector 2 [Source:VGNC Symbol_Acc:VGNC:27078],7,23073268,23192277,-1
ENSBTAG00000054075,,,8,79907027,79908683,1
ENSBTAG00000013841,FAM243A,family with sequence similarity 243 member A [Source:VGNC Symbol_Acc:VGNC:56217],1,1099127,1100145,-1
ENSBTAG00000054456,,,8,79929295,79935132,1
ENSBTAG00000017672,HAS1,hyaluronan synthase 1 [Source:VGNC Symbol_Acc:VGNC:52197],18,57702748,57711801,-1
ENSBTAG00000007110,RCOR3,REST corepressor 3 [Source:VGNC Symbol_Acc:VGNC:33836],16,72056794,72108849,-1
ENSBTAG00000052874,,,10,3245214,3246091,-1
ENSBTAG00000053885,,,6,91167289,91172963,1
ENSBTAG00000049768,,,11,27356746,27356832,1
ENSBTAG00000021328,SPHKAP,"SPHK1 interactor, AKAP domain containing [Source:VGNC Symbol_Acc:VGNC:35212]",2,116086973,116277103,-1
ENSBTAG00000046803,GAS1,growth arrest specific 1 [Source:VGNC Symbol_Acc:VGNC:29256],8,80131404,80132573,-1
ENSBTAG00000046440,TRAM1L1,translocation associated membrane protein 1 like 1 [Source:VGNC Symbol_Acc:VGNC:53779],6,8273766,8274902,1
ENSBTAG00000004921,,,6,91186036,91199159,1
ENSBTAG00000051329,,,11,27358463,27358677,1
ENSBTAG00000021253,PRDM15,PR/SET domain 15 [Source:VGNC Symbol_Acc:VGNC:33293],1,142065605,142132485,-1
ENSBTAG00000011528,SMIM11A,small integral membrane protein 11A [Source:NCBI gene (formerly Entrezgene)_Acc:615202],1,1102887,1118312,-1
ENSBTAG00000015356,TAC1,tachykinin precursor 1 [Source:VGNC Symbol_Acc:VGNC:35555],4,15014498,15023433,1
ENSBTAG00000054981,,,3,96352706,96512179,1
ENSBTAG00000049988,,,11,27359687,27359761,1
ENSBTAG00000011076,KCNN2,potassium calcium-activated channel subfamily N member 2 [Source:VGNC Symbol_Acc:VGNC:30484],10,3260025,3428630,1
ENSBTAG00000048799,,,6,9773207,9774297,-1
ENSBTAG00000010389,STBD1,starch binding domain 1 [Source:VGNC Symbol_Acc:VGNC:35376],6,91219218,91223003,1
ENSBTAG00000049266,,,8,80133827,80203278,1
ENSBTAG00000044380,SNORA70,Small nucleolar RNA SNORA70 [Source:RFAM_Acc:RF00156],8,80184238,80184384,-1
ENSBTAG00000026260,KCNE2,potassium voltage-gated channel subfamily E regulatory subunit 2 [Source:VGNC Symbol_Acc:VGNC:30437],1,1123943,1131748,-1
ENSBTAG00000009281,SPRYD4,SPRY domain containing 4 [Source:VGNC Symbol_Acc:VGNC:35246],5,56893433,56925355,-1
ENSBTAG00000048475,,,11,27359990,27360338,1
ENSBTAG00000010961,LYRM7,LYR motif containing 7 [Source:VGNC Symbol_Acc:VGNC:31111],7,23244080,23265677,-1
ENSBTAG00000050613,,,11,27361877,27362147,1
ENSBTAG00000054393,,,11,27364418,27364624,1
ENSBTAG00000010959,HINT1,histidine triad nucleotide binding protein 1 [Source:VGNC Symbol_Acc:VGNC:29854],7,23271324,23278556,1
ENSBTAG00000054497,,,1,1375581,1379969,-1
ENSBTAG00000027017,SIX3,SIX homeobox 3 [Source:VGNC Symbol_Acc:VGNC:34640],11,27366407,27370463,1
ENSBTAG00000037640,PID1,phosphotyrosine interaction domain containing 1 [Source:VGNC Symbol_Acc:VGNC:32862],2,117023746,117290403,-1
ENSBTAG00000018905,MAN2A2,mannosidase alpha class 2A member 2 [Source:VGNC Symbol_Acc:VGNC:31165],21,21741603,21760748,-1
ENSBTAG00000004159,SIX2,SIX homeobox 2 [Source:VGNC Symbol_Acc:VGNC:34639],11,27425619,27429295,-1
ENSBTAG00000053046,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],11,27629369,27629475,1
ENSBTAG00000012594,MRPS6,mitochondrial ribosomal protein S6 [Source:VGNC Symbol_Acc:VGNC:31676],1,1390803,1455219,-1
ENSBTAG00000053607,,,3,97292981,97293601,1
ENSBTAG00000000738,DAPK1,death associated protein kinase 1 [Source:VGNC Symbol_Acc:VGNC:27877],8,80710910,80921735,1
ENSBTAG00000003700,SLC5A10,solute carrier family 5 member 10 [Source:VGNC Symbol_Acc:VGNC:34903],19,34214709,34270099,-1
ENSBTAG00000012157,CCDC158,coiled-coil domain containing 158 [Source:VGNC Symbol_Acc:VGNC:26862],6,91226891,91294472,-1
ENSBTAG00000009284,GLS2,glutaminase 2 [Source:VGNC Symbol_Acc:VGNC:29420],5,56910794,56923321,1
ENSBTAG00000003131,NDST4,N-deacetylase and N-sulfotransferase 4 [Source:VGNC Symbol_Acc:VGNC:31943],6,10482289,10799267,1
ENSBTAG00000039675,,interferon omega-1 [Source:NCBI gene (formerly Entrezgene)_Acc:618943],8,23089984,23090572,1
ENSBTAG00000021259,C2CD2,C2 calcium dependent domain containing 2 [Source:VGNC Symbol_Acc:VGNC:26631],1,142142610,142204837,-1
ENSBTAG00000007508,SRBD1,S1 RNA binding domain 1 [Source:VGNC Symbol_Acc:VGNC:35268],11,27806024,28050575,-1
ENSBTAG00000053608,,,16,72109238,72128607,1
ENSBTAG00000044908,7SK,7SK RNA [Source:RFAM_Acc:RF00100],2,117250440,117250726,-1
ENSBTAG00000049850,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],1,1472144,1472250,1
ENSBTAG00000039491,,,18,57741088,57742974,-1
ENSBTAG00000014661,CHSY3,chondroitin sulfate synthase 3 [Source:VGNC Symbol_Acc:VGNC:27351],7,23976246,24263996,-1
ENSBTAG00000008710,KCNH1,potassium voltage-gated channel subfamily H member 1 [Source:VGNC Symbol_Acc:VGNC:50204],16,72205829,72642416,1
ENSBTAG00000051881,,interferon alpha-H [Source:NCBI gene (formerly Entrezgene)_Acc:783912],8,23125610,23126452,1
ENSBTAG00000009209,BEND5,BEN domain containing 5 [Source:VGNC Symbol_Acc:VGNC:26468],3,97468115,97518125,1
ENSBTAG00000004333,COPA,COPI coat complex subunit alpha [Source:VGNC Symbol_Acc:VGNC:27592],3,9350633,9394688,1
ENSBTAG00000014948,NUTM1,NUT midline carcinoma family member 1 [Source:NCBI gene (formerly Entrezgene)_Acc:538095],10,28287799,28298647,-1
ENSBTAG00000051108,,,7,24377572,24380035,1
ENSBTAG00000048801,bta-mir-12038,bta-mir-12038 [Source:miRBase_Acc:MI0038459],18,57748534,57748591,-1
ENSBTAG00000016063,DNER,delta/notch like EGF repeat containing [Source:VGNC Symbol_Acc:VGNC:28139],2,117379818,117771065,-1
ENSBTAG00000018278,ATP5PO,ATP synthase peripheral stalk subunit OSCP [Source:NCBI gene (formerly Entrezgene)_Acc:281640],1,1643628,1651039,1
ENSBTAG00000010127,MIP,major intrinsic protein of lens fiber [Source:VGNC Symbol_Acc:VGNC:31482],5,56934066,56938031,1
ENSBTAG00000007409,MILR1,mast cell immunoglobulin like receptor 1 [Source:VGNC Symbol_Acc:VGNC:31476],19,48618991,48639790,1
ENSBTAG00000004574,UGT8,UDP glycosyltransferase 8 [Source:VGNC Symbol_Acc:VGNC:36652],6,10925712,11037983,-1
ENSBTAG00000048309,MINAR2,membrane integral NOTCH2 associated receptor 2 [Source:VGNC Symbol_Acc:VGNC:30562],7,24385785,24399648,-1
ENSBTAG00000014593,,,18,57752745,57762930,-1
ENSBTAG00000002941,FES,"FES proto-oncogene, tyrosine kinase [Source:VGNC Symbol_Acc:VGNC:28954]",21,21768206,21780459,-1
ENSBTAG00000003222,ASNS,asparagine synthetase (glutamine-hydrolyzing) [Source:NCBI gene (formerly Entrezgene)_Acc:514209],4,15128694,15276513,-1
ENSBTAG00000051190,,,7,24402124,24403341,1
ENSBTAG00000018420,POLG2,"DNA polymerase gamma 2, accessory subunit [Source:VGNC Symbol_Acc:VGNC:33123]",19,48660926,48677027,-1
ENSBTAG00000049334,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],2,117416489,117416597,1
ENSBTAG00000050920,,zinc finger protein OZF [Source:NCBI gene (formerly Entrezgene)_Acc:787554],18,57754150,57774743,-1
ENSBTAG00000050665,,,6,91243937,91245241,1
ENSBTAG00000054735,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],6,91266820,91266926,-1
ENSBTAG00000025632,NOP10,NOP10 ribonucleoprotein [Source:VGNC Symbol_Acc:VGNC:32164],10,28299475,28303025,1
ENSBTAG00000045470,bta-mir-2284m,bta-mir-2284m [Source:miRBase_Acc:MI0011459],2,117477328,117477394,-1
ENSBTAG00000016145,ADAMTS19,ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:VGNC Symbol_Acc:VGNC:25623],7,24410759,24678664,-1
ENSBTAG00000053037,,interferon omega-1 [Source:NCBI gene (formerly Entrezgene)_Acc:523509],8,23131491,23132078,1
ENSBTAG00000049805,,,2,117768790,117803788,-1
ENSBTAG00000019633,SHROOM3,shroom family member 3 [Source:VGNC Symbol_Acc:VGNC:34609],6,91317426,91647743,1
ENSBTAG00000030836,ZBTB21,zinc finger and BTB domain containing 21 [Source:VGNC Symbol_Acc:VGNC:37066],1,142235364,142253631,-1
ENSBTAG00000012722,,,3,97586687,97733398,1
ENSBTAG00000038487,ZNF613,zinc finger protein 613 [Source:VGNC Symbol_Acc:VGNC:50111],18,57807061,57816044,1
ENSBTAG00000053413,,,8,23167683,23168546,-1
ENSBTAG00000050857,,,11,27843796,27844014,1
ENSBTAG00000048628,HHAT,hedgehog acyltransferase [Source:NCBI gene (formerly Entrezgene)_Acc:100336796],16,72651368,73012821,-1
ENSBTAG00000000341,ISOC1,isochorismatase domain containing 1 [Source:VGNC Symbol_Acc:VGNC:30301],7,24975144,24993919,-1
ENSBTAG00000000720,CTSL,cathepsin L [Source:NCBI gene (formerly Entrezgene)_Acc:515200],8,80974612,80980412,1
ENSBTAG00000039046,CD24,CD24 molecule [Source:VGNC Symbol_Acc:VGNC:27014],2,117785379,117787180,1
ENSBTAG00000052840,,,6,11071447,11074961,-1
ENSBTAG00000020459,TIMELESS,timeless circadian regulator [Source:VGNC Symbol_Acc:VGNC:35869],5,56937139,56964713,1
ENSBTAG00000021997,ITSN1,intersectin 1 [Source:VGNC Symbol_Acc:VGNC:30352],1,1665339,1908788,-1
ENSBTAG00000053041,,,8,23184430,23185074,1
ENSBTAG00000052503,bta-mir-2285cw-2,bta-mir-2285cw-2 [Source:miRBase_Acc:MI0038428],10,3413210,3413269,-1
ENSBTAG00000044673,,,4,15184577,15184681,1
ENSBTAG00000023186,,,10,3638271,3638663,1
ENSBTAG00000016236,SLC12A6,solute carrier family 12 member 6 [Source:VGNC Symbol_Acc:VGNC:34669],10,28304735,28385879,1
ENSBTAG00000055306,IFNB3,"Bos taurus interferon, beta 3 (IFNB3), mRNA. [Source:RefSeq mRNA_Acc:NM_001114297]",8,23191860,23192497,1
ENSBTAG00000032651,,"FK506 binding protein 1A, 12kDa-like [Source:NCBI gene (formerly Entrezgene)_Acc:526524]",11,27914690,27915291,1
ENSBTAG00000050010,,,6,11101042,11101311,-1
ENSBTAG00000018423,DDX5,DEAD-box helicase 5 [Source:VGNC Symbol_Acc:VGNC:27972],19,48678120,48691777,-1
ENSBTAG00000006954,ZNF432,zinc finger protein 432 [Source:VGNC Symbol_Acc:VGNC:54517],18,57825465,57831752,1
ENSBTAG00000004995,C1GALT1,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 [Source:VGNC Symbol_Acc:VGNC:26615]",4,15276632,15320627,1
ENSBTAG00000049948,IFNB3,"Bos taurus interferon, beta 3 (IFNB3), mRNA. [Source:RefSeq mRNA_Acc:NM_001114297]",8,23195571,23196208,1
ENSBTAG00000053655,,,10,3734941,3735099,1
ENSBTAG00000055103,IFNB3,"Bos taurus interferon, beta 3 (IFNB3), mRNA. [Source:RefSeq mRNA_Acc:NM_001114297]",8,23199284,23199921,1
ENSBTAG00000053350,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],16,72677854,72677960,1
